,year,rank,name,citizenship,age,net_worth,residence,source,category,continents
1533,2011.0,512.0,Alfred Taubman,United States,87.0,2.3,,real estate,,North America
1534,2011.0,512.0,Steve Wynn,United States,69.0,2.3,,"casinos, hotels",,North America
1535,2011.0,512.0,Daniela Herz,Germany,57.0,2.3,,coffee,,Europe
1536,2011.0,512.0,Ken Griffin,United States,42.0,2.3,,hedge funds,,North America
1537,2011.0,512.0,Andreas von Bechtolsheim,Germany,55.0,2.3,,Google,,Europe
1538,2011.0,512.0,Vincent Lo,Hong Kong,62.0,2.3,,real estate,,Asia
1539,2011.0,512.0,Thomas Bruch,Germany,60.0,2.3,,food retailing,,Europe
1540,2011.0,512.0,Mario Moretti Polegato,Italy,58.0,2.3,,shoes,,Europe
1541,2011.0,512.0,Mohammed Al Issa,Saudi Arabia,86.0,2.3,,Investments,,Asia
1542,2011.0,512.0,Cyrus Poonawalla,India,69.0,2.3,,biotech,,Asia
1543,2011.0,512.0,Alexander Mamut,Russia,51.0,2.3,,Investments,,Asia
1544,2011.0,512.0,Mikhail Balakin,Russia,49.0,2.3,,construction,,Asia
1545,2011.0,512.0,Heinz Hermann Thiele & family,Germany,70.0,2.3,,brakes,,Europe
1546,2011.0,512.0,Rodney Lewis,United States,57.0,2.3,,Natural gas,,North America
1547,2011.0,512.0,Alexandra Schorghuber,Germany,52.0,2.3,,real estate,,Europe
1548,2011.0,512.0,Andrei Guriev,Russia,51.0,2.3,,fertilizers,,Asia
1549,2011.0,512.0,Anatoly Skurov,Russia,58.0,2.3,,Coal,,Asia
1550,2011.0,540.0,Luo Jye & family,Taiwan,85.0,2.2,,tires,,Asia
1551,2011.0,540.0,Hans-Werner Hector,Germany,71.0,2.2,,SAP,,Europe
1552,2011.0,540.0,Glen Taylor,United States,69.0,2.2,,printing,,North America
1553,2011.0,540.0,A. Jerrold Perenchio,United States,80.0,2.2,,Univision,,North America
1554,2011.0,540.0,H. Wayne Huizenga,United States,73.0,2.2,,Investments,,North America
1555,2011.0,540.0,John Doerr,United States,59.0,2.2,,venture capital,,North America
1556,2011.0,540.0,Minoru Mori,Japan,76.0,2.2,,real estate,,Asia
1557,2011.0,540.0,Bharat Desai & family,United States,58.0,2.2,,Syntel,,North America
1558,2011.0,540.0,N. Murray Edwards,Canada,51.0,2.2,,oil &amp; gas,,North America
1559,2011.0,540.0,David Shaw,United States,60.0,2.2,,hedge funds,,North America
1560,2011.0,540.0,Rajan Raheja & family,India,56.0,2.2,,Diversified,,Asia
1561,2011.0,540.0,Andrew Tan,Philippines,58.0,2.2,,Diversified,,Asia
1562,2011.0,540.0,Randal Kirk,United States,57.0,2.2,,pharmaceuticals,,North America
1563,2011.0,540.0,William Conway,United States,61.0,2.2,,leveraged buyouts,,North America
1564,2011.0,540.0,Daniel D'Aniello,United States,64.0,2.2,,leveraged buyouts,,North America
1565,2011.0,540.0,Philip Falcone,United States,48.0,2.2,,hedge funds,,North America
1566,2011.0,540.0,Jack Dangermond,United States,65.0,2.2,,mapping software,,North America
1567,2011.0,540.0,Dinu Patriciu,Romania,60.0,2.2,,refineries,,Europe
1568,2011.0,540.0,Diane Hendricks,United States,64.0,2.2,,ABC Supply,,North America
1569,2011.0,540.0,Nicolas Berggruen,United States,49.0,2.2,,Investments,,North America
1570,2011.0,540.0,Yoshikazu Tanaka,Japan,34.0,2.2,,social networking,,Asia
1571,2011.0,540.0,Hawken Xiu Li,United Kingdom,48.0,2.2,,real estate,,Europe
1572,2011.0,540.0,T.Y. Tsai,Taiwan,,2.2,,finance,,Asia
1573,2011.0,540.0,Jin Sook & Do Won Chang,United States,56.0,2.2,,Forever 21,,North America
1574,2011.0,564.0,Li San Yim,China,59.0,2.1,,Manufacturing,,Asia
1575,2011.0,564.0,Lu Zhiqiang,China,58.0,2.1,,Diversified,,Asia
1576,2011.0,564.0,Kazuo Okada & family,Japan,68.0,2.1,,gaming,,Asia
1577,2011.0,564.0,Kjell Inge Rokke,Norway,52.0,2.1,,"shipping, seafood",,Europe
1578,2011.0,564.0,Michael Milken,United States,64.0,2.1,,Investments,,North America
1579,2011.0,564.0,Frederick Smith,United States,66.0,2.1,,FedEx,,North America
1580,2011.0,564.0,Jeremy Jacobs,United States,71.0,2.1,,sports concessions,,North America
1581,2011.0,564.0,Henry Hillman,United States,92.0,2.1,,Investments,,North America
1582,2011.0,564.0,Amos Hostetter,United States,74.0,2.1,,cable television,,North America
1583,2011.0,564.0,Ted Turner,United States,72.0,2.1,,cable television,,North America
1584,2011.0,564.0,Mortimer Zuckerman,United States,73.0,2.1,,"real estate, media",,North America
1585,2011.0,564.0,Edward Roski,United States,72.0,2.1,,real estate,,North America
1586,2011.0,564.0,Thomas Pritzker,United States,60.0,2.1,,"hotels, investments",,North America
1587,2011.0,564.0,William Wrigley,United States,47.0,2.1,,chewing gum,,North America
1588,2011.0,564.0,Bill Gross,United States,67.0,2.1,,Bonds,,North America
1589,2011.0,564.0,Arne Wilhelmsen & family,Norway,80.0,2.1,,Royal Caribbean,,Europe
1590,2011.0,564.0,Desh Bandhu Gupta,India,73.0,2.1,,pharmaceuticals,,Asia
1591,2011.0,564.0,Alexander Lebedev,Russia,51.0,2.1,,"investments, banking",,Asia
1592,2011.0,564.0,Elie Horn,Brazil,65.0,2.1,,real estate,,South America
1593,2011.0,564.0,Marc Benioff,United States,46.0,2.1,,Salesforce.com,,North America
1594,2011.0,564.0,Mark Coombs,United Kingdom,50.0,2.1,,finance,,Europe
1595,2011.0,564.0,Francis Choi,Hong Kong,63.0,2.1,,real estate,,Asia
1596,2011.0,564.0,Shin Chang-Jae,South Korea,57.0,2.1,,insurance,,Asia
1597,2011.0,564.0,Chung Eui-Sun,South Korea,40.0,2.1,,Hyundai,,Asia
1598,2011.0,564.0,Helmut Sohmen,Austria,71.0,2.1,,shipping,,Europe
1599,2011.0,564.0,Ali Ibrahim Agaoglu,Turkey,57.0,2.1,,construction,,Asia
1600,2011.0,564.0,Alexander Dzhaparidze,Russia,55.0,2.1,,Oil Services,,Asia
1601,2011.0,564.0,Bernard Broermann,Germany,67.0,2.1,,healthcare,,Europe
1602,2011.0,564.0,Sri Prakash Lohia,Indonesia,58.0,2.1,,polyester,,Asia
1603,2011.0,564.0,Wong Luen Hei,China,49.0,2.1,,Diversified,,Asia
1604,2011.0,564.0,Ziyad Manasir,Russia,45.0,2.1,,construction,,Asia
1605,2011.0,595.0,Zhang Zhidong,China,39.0,2.0,,Internet,,Asia
1606,2011.0,595.0,Meng Qingshan & family,China,62.0,2.0,,chemicals,,Asia
1607,2011.0,595.0,Charles Bronfman,Canada,79.0,2.0,,liquor,,North America
1608,2011.0,595.0,Klaus Tschira,Germany,70.0,2.0,,SAP,,Europe
1609,2011.0,595.0,Mohamed Mansour,Egypt,63.0,2.0,,Diversified,,Africa
1610,2011.0,595.0,N.R. Narayana Murthy & family,India,64.0,2.0,,Software,,Asia
1611,2011.0,595.0,Kerry Stokes,Australia,70.0,2.0,,"media, Caterpillar",,Oceania
1612,2011.0,595.0,Chey Tae-Won,South Korea,50.0,2.0,,Diversified,,Asia
1613,2011.0,595.0,Roberto Gonzalez Barrera & family,Mexico,79.0,2.0,,"banking, tortillas",,North America
1614,2011.0,595.0,Lee Bass,United States,54.0,2.0,,"oil, investments",,North America
1615,2011.0,595.0,Walter Scott,United States,79.0,2.0,,"construction, telecom",,North America
1616,2011.0,595.0,Sid Bass,United States,68.0,2.0,,"oil, investments",,North America
1617,2011.0,595.0,Bennett Dorrance,United States,65.0,2.0,,Campbell Soup,,North America
1618,2011.0,595.0,Albert Ueltschi,United States,93.0,2.0,,FlightSafety,,North America
1619,2011.0,595.0,Jerry Jones,United States,68.0,2.0,,Dallas Cowboys,,North America
1620,2011.0,595.0,Herbert Kohler & family,United States,72.0,2.0,,plumbing fixtures,,North America
1621,2011.0,595.0,Henry Samueli,United States,56.0,2.0,,Broadcom,,North America
1622,2011.0,595.0,Phillip Ruffin,United States,76.0,2.0,,"casinos, real estate",,North America
1623,2011.0,595.0,David Bonderman,United States,68.0,2.0,,leveraged buyouts,,North America
1624,2011.0,595.0,William Connor,United States,61.0,2.0,,transportation,,North America
1625,2011.0,595.0,Gordon Getty,United States,77.0,2.0,,Getty Oil,,North America
1626,2011.0,595.0,Albert von Thurn und Taxis,Germany,27.0,2.0,,Diversified,,Europe
1627,2011.0,595.0,Hans Riegel,Germany,88.0,2.0,,candy,,Europe
1628,2011.0,595.0,Daryl Katz,Canada,49.0,2.0,,pharmacies,,North America
1629,2011.0,595.0,John de Mol,Netherlands,56.0,2.0,,TV,,Europe
1630,2011.0,595.0,Stefan von Holtzbrinck,Germany,47.0,2.0,,publishing,,Europe
1631,2011.0,595.0,Monika Schoeller,Germany,72.0,2.0,,publishing,,Europe
1632,2011.0,595.0,H. Fisk Johnson,United States,52.0,2.0,,SC Johnson &amp; Sons,,North America
1633,2011.0,595.0,S. Curtis Johnson,United States,55.0,2.0,,SC Johnson &amp; Sons,,North America
1634,2011.0,595.0,Winnie Johnson-Marquart,United States,52.0,2.0,,SC Johnson &amp; Sons,,North America
1635,2011.0,595.0,Helen Johnson-Leipold,United States,54.0,2.0,,SC Johnson &amp; Sons,,North America
1636,2011.0,595.0,Imogene Powers Johnson,United States,81.0,2.0,,SC Johnson &amp; Sons,,North America
1637,2011.0,595.0,Saad Hariri,Lebanon,41.0,2.0,,"construction, investments",,Asia
1638,2011.0,595.0,James Ratcliffe,United Kingdom,58.0,2.0,,chemicals,,Europe
1639,2011.0,595.0,Leszek Czarnecki,Poland,49.0,2.0,,finance,,Europe
1640,2011.0,595.0,Shin Dong-Bin,South Korea,56.0,2.0,,Retail,,Asia
1641,2011.0,595.0,Robert Rich,United States,70.0,2.0,,Rich Products Corporation,,North America
1642,2011.0,595.0,Or Wai Sheun,Hong Kong,59.0,2.0,,real estate,,Asia
1643,2011.0,595.0,Zdenek Bakala,Czech Republic,50.0,2.0,,Coal,,Europe
1644,2011.0,595.0,Kim Jung-Ju,South Korea,43.0,2.0,,online gaming,,Asia
1645,2011.0,595.0,Kelcy Warren,United States,55.0,2.0,,pipelines,,North America
1646,2011.0,595.0,Lynn Schusterman,United States,72.0,2.0,,"oil &amp; gas, investments",,North America
1647,2011.0,595.0,Jean-Claude Gandur,Switzerland,62.0,2.0,,"oil trading, exploration",,Europe
1648,2011.0,595.0,Gautam Thapar,India,50.0,2.0,,"engineering, paper",,Asia
1649,2011.0,595.0,Mike Adenuga,Nigeria,57.0,2.0,,"telcom, banking, oil",,Africa
1650,2011.0,595.0,Jayme Garfinkel & family,Brazil,64.0,2.0,,insurance,,South America
1651,2011.0,595.0,Erman Ilicak,Turkey,44.0,2.0,,construction,,Asia
1652,2011.0,595.0,Esther Grether & family,Switzerland,75.0,2.0,,"art collection, Swatch",,Europe
1653,2011.0,595.0,Sudhir & Samir Mehta,India,57.0,2.0,,Diversified,,Asia
1654,2011.0,595.0,Kiki Barki,Indonesia,71.0,2.0,,Coal,,Asia
1655,2011.0,595.0,David Hains,Australia,80.0,2.0,,finance,,Oceania
1656,2011.0,595.0,Aloke Lohia,India,52.0,2.0,,chemicals,,Asia
1657,2011.0,595.0,Maria de Lourdes Egydio Villela,Brazil,,2.0,,banking,,South America
1658,2011.0,595.0,Edson de Godoy Bueno,Brazil,67.0,2.0,,healthcare,,South America
1659,2011.0,595.0,Valery Kogan,Russia,60.0,2.0,,airport,,Asia
1660,2011.0,595.0,Ian & Richard Livingstone,United Kingdom,,2.0,,real estate,,Europe
1661,2011.0,651.0,Lin Xiucheng & family,China,55.0,1.9,,electronics,,Asia
1662,2011.0,651.0,Shen Guojun,China,48.0,1.9,,Retail,,Asia
1663,2011.0,651.0,Li Shufu,China,47.0,1.9,,automotive,,Asia
1664,2011.0,651.0,Zhang Hongwei,China,56.0,1.9,,Diversified,,Asia
1665,2011.0,651.0,Lu Xiangyang,China,48.0,1.9,,Investments,,Asia
1666,2011.0,651.0,Liu Zhongtian,China,47.0,1.9,,metal processors,,Asia
1667,2011.0,651.0,Sukanto Tanoto,Indonesia,61.0,1.9,,Diversified,,Asia
1668,2011.0,651.0,Esther Koplowitz,Spain,57.0,1.9,,construction,,Europe
1669,2011.0,651.0,Shigenobu Nagamori,Japan,66.0,1.9,,micro motors,,Asia
1670,2011.0,651.0,Bernard Marcus,United States,81.0,1.9,,Home Depot,,North America
1671,2011.0,651.0,Edward DeBartolo,United States,64.0,1.9,,shopping centers,,North America
1672,2011.0,651.0,John Marriott,United States,79.0,1.9,,hotels,,North America
1673,2011.0,651.0,Stanley Hubbard,United States,77.0,1.9,,DirecTV,,North America
1674,2011.0,651.0,Alan Casden,United States,65.0,1.9,,real estate,,North America
1675,2011.0,651.0,Penny Pritzker,United States,51.0,1.9,,"hotels, investments",,North America
1676,2011.0,651.0,Sylvia Stroher,Germany,56.0,1.9,,Cosmetics,,Europe
1677,2011.0,651.0,John Caudwell,United Kingdom,58.0,1.9,,mobile phones,,Europe
1678,2011.0,651.0,Wilbur Ross,United States,73.0,1.9,,Investments,,North America
1679,2011.0,651.0,Martin Viessmann,Germany,57.0,1.9,,Heating Equipment,,Europe
1680,2011.0,651.0,Mike Lazaridis,Canada,50.0,1.9,,Research in Motion,,North America
1681,2011.0,651.0,James Coulter,United States,51.0,1.9,,leveraged buyouts,,North America
1682,2011.0,651.0,Michael Jaharis,United States,82.0,1.9,,pharmaceuticals,,North America
1683,2011.0,651.0,Venugopal Dhoot,India,59.0,1.9,,electronics,,Asia
1684,2011.0,651.0,Roustam Tariko,Russia,49.0,1.9,,banking,,Asia
1685,2011.0,651.0,Shin Dong-Joo,South Korea,57.0,1.9,,Retail,,Asia
1686,2011.0,651.0,Florentino Perez,Spain,64.0,1.9,,construction,,Europe
1687,2011.0,651.0,Israel Englander,United States,62.0,1.9,,hedge funds,,North America
1688,2011.0,651.0,Jeffrey Hildebrand,United States,52.0,1.9,,oil,,North America
1689,2011.0,651.0,Michal Solowow,Poland,48.0,1.9,,Investments,,Europe
1690,2011.0,651.0,Alexei Ananyev,Russia,46.0,1.9,,"banking, IT, real estate",,Asia
1691,2011.0,651.0,Dmitry Ananyev,Russia,42.0,1.9,,"banking, IT, real estate",,Asia
1692,2011.0,651.0,Anatoly Sedykh,Russia,46.0,1.9,,steel pipes,,Asia
1693,2011.0,651.0,Michael Ashley,United Kingdom,51.0,1.9,,sports retailing,,Europe
1694,2011.0,651.0,Joseph Craft & family,United States,60.0,1.9,,Alliance Holdings,,North America
1695,2011.0,651.0,Chip Wilson,Canada,54.0,1.9,,Lululemon,,North America
1696,2011.0,651.0,Chandru Raheja,India,70.0,1.9,,real estate,,Asia
1697,2011.0,651.0,Antti Herlin,Finland,54.0,1.9,,"elevators, escalators",,Europe
1698,2011.0,651.0,Reyes J. Christopher,United States,57.0,1.9,,Reyes Holdings,,North America
1699,2011.0,651.0,Reyes Jude,United States,55.0,1.9,,Reyes Holdings,,North America
1700,2011.0,651.0,Martin Naughton,Ireland,71.0,1.9,,Heating Equipment,,Europe
1701,2011.0,651.0,Dulce Pugliese de Godoy Bueno,Brazil,63.0,1.9,,finance,,South America
1702,2011.0,692.0,Cho Tak Wong & family,Hong Kong,64.0,1.8,,chemicals,,Asia
1703,2011.0,692.0,Huang Maoru & family,Belize,45.0,1.8,,Retail,,North America
1704,2011.0,692.0,Neil Bluhm,United States,73.0,1.8,,real estate,,North America
1705,2011.0,692.0,Dean White,United States,87.0,1.8,,"billboards, hotels",,North America
1706,2011.0,692.0,Leon G. Cooperman,United States,67.0,1.8,,hedge funds,,North America
1707,2011.0,692.0,Austin Hearst,United States,58.0,1.8,,Hearst Corp,,North America
1708,2011.0,692.0,William Randolph Hearst III,United States,61.0,1.8,,Hearst Corp,,North America
1709,2011.0,692.0,George Hearst Jr,United States,83.0,1.8,,Hearst Corp,,North America
1710,2011.0,692.0,Richard Marriott,United States,72.0,1.8,,hotels,,North America
1711,2011.0,692.0,Bradley Hughes,United States,77.0,1.8,,Public Storage,,North America
1712,2011.0,692.0,David Hearst Jr,United States,65.0,1.8,,Hearst Corp,,North America
1713,2011.0,692.0,John Catsimatidis,United States,62.0,1.8,,"oil, real estate, supermarkets",,North America
1714,2011.0,692.0,Henry Nicholas,United States,51.0,1.8,,Broadcom,,North America
1715,2011.0,692.0,Fred DeLuca,United States,63.0,1.8,,Subway,,North America
1716,2011.0,692.0,Michael Moritz,United States,56.0,1.8,,venture capital,,North America
1717,2011.0,692.0,Heinz Bauer,Germany,71.0,1.8,,publishing,,Europe
1718,2011.0,692.0,John Pritzker,United States,58.0,1.8,,"hotels, investments",,North America
1719,2011.0,692.0,Nadhmi Auchi,United Kingdom,73.0,1.8,,real estate,,Europe
1720,2011.0,692.0,Jay Robert (J.B.) Pritzker,United States,46.0,1.8,,"hotels, investments",,North America
1721,2011.0,692.0,Peter Buck,United States,80.0,1.8,,Subway,,North America
1722,2011.0,692.0,Jim Davis & family,United States,67.0,1.8,,New Balance,,North America
1723,2011.0,692.0,John Whittaker,United Kingdom,69.0,1.8,,real estate,,Europe
1724,2011.0,692.0,Ahmet Nazif Zorlu,Turkey,66.0,1.8,,electronics,,Asia
1725,2011.0,692.0,S. Truett Cathy,United States,90.0,1.8,,Chick-fil-A,,North America
1726,2011.0,692.0,David Cheriton,Canada,59.0,1.8,,Google,,North America
1727,2011.0,692.0,Nandan Nilekani & family,India,55.0,1.8,,Software,,Asia
1728,2011.0,692.0,Kamil Yazici,Turkey,82.0,1.8,,Beverages,,Asia
1729,2011.0,692.0,Li Sze Lim,Hong Kong,54.0,1.8,,real estate,,Asia
1730,2011.0,692.0,James Balsillie,Canada,50.0,1.8,,Research in Motion,,North America
1731,2011.0,692.0,Lev Kvetnoi,Russia,45.0,1.8,,"cement, airport",,Asia
1732,2011.0,692.0,Jerry Speyer,United States,70.0,1.8,,real estate,,North America
1733,2011.0,692.0,Mohammed Ibrahim,United Kingdom,64.0,1.8,,communications,,Europe
1734,2011.0,692.0,Igor Kesaev,Russia,44.0,1.8,,"tobacco distribution, retail",,Asia
1735,2011.0,692.0,Jeff Greene,United States,56.0,1.8,,"real estate, investments",,North America
1736,2011.0,692.0,Niels Peter Louis-Hansen,Denmark,63.0,1.8,,medical devices,,Europe
1737,2011.0,692.0,Anita Zucker,United States,59.0,1.8,,chemicals,,North America
1738,2011.0,692.0,Isaac Perlmutter,United States,68.0,1.8,,Marvel,,North America
1739,2011.0,692.0,Alan Howard,United Kingdom,47.0,1.8,,hedge funds,,Europe
1740,2011.0,692.0,Gong Hongjia & family,Hong Kong,46.0,1.8,,electronics,,Asia
1741,2011.0,692.0,Yasseen Mansour,Egypt,49.0,1.8,,Diversified,,Africa
1742,2011.0,692.0,Youssef Mansour,Egypt,65.0,1.8,,Diversified,,Africa
1743,2011.0,692.0,Valentin Bukhtoyarov,Russia,56.0,1.8,,Coal,,Asia
1744,2011.0,692.0,Alexander Shchukin,Russia,60.0,1.8,,Coal,,Asia
1745,2011.0,692.0,Vladimir Melnichenko,Russia,60.0,1.8,,Coal,,Asia
1746,2011.0,736.0,Zhang Li,China,58.0,1.7,,real estate,,Asia
1747,2011.0,736.0,Chan Laiwa & family,China,70.0,1.7,,real estate,,Asia
1748,2011.0,736.0,Sze Man Bok,China,61.0,1.7,,Consumer Products,,Asia
1749,2011.0,736.0,Hui Lin Chit,China,58.0,1.7,,Consumer Products,,Asia
1750,2011.0,736.0,Gao Dekang & family,China,59.0,1.7,,Apparel,,Asia
1751,2011.0,736.0,Chao Teng-Hsiung,Taiwan,67.0,1.7,,real estate,,Asia
1752,2011.0,736.0,Ye Chenghai,Hong Kong,67.0,1.7,,pharmaceuticals,,Asia
1753,2011.0,736.0,Saleh Kamel,Saudi Arabia,70.0,1.7,,Diversified,,Asia
1754,2011.0,736.0,Frank Stronach,Canada,78.0,1.7,,Auto parts,,North America
1755,2011.0,736.0,Clemmie Spangler,United States,79.0,1.7,,Investments,,North America
1756,2011.0,736.0,Michael Ilitch & family,United States,81.0,1.7,,pizza,,North America
1757,2011.0,736.0,George Lindemann & family,United States,75.0,1.7,,Investments,,North America
1758,2011.0,736.0,Craig McCaw,United States,61.0,1.7,,McCaw Cellular,,North America
1759,2011.0,736.0,Clayton Mathile,United States,70.0,1.7,,Iams,,North America
1760,2011.0,736.0,Louis Bacon,United States,52.0,1.7,,hedge funds,,North America
1761,2011.0,736.0,George Argyros,United States,74.0,1.7,,"real estate, investments",,North America
1762,2011.0,736.0,Thomas Siebel,United States,58.0,1.7,,Siebel Systems,,North America
1763,2011.0,736.0,Vincent Bollore,France,59.0,1.7,,Investments,,Europe
1764,2011.0,736.0,Min Kao,United States,62.0,1.7,,navigation equipment,,North America
1765,2011.0,736.0,James Pritzker,United States,59.0,1.7,,"hotels, investments",,North America
1766,2011.0,736.0,Linda Pritzker,United States,57.0,1.7,,"hotels, investments",,North America
1767,2011.0,736.0,Karen Pritzker,United States,53.0,1.7,,"hotels, investments",,North America
1768,2011.0,736.0,Anthony Pritzker,United States,50.0,1.7,,"hotels, investments",,North America
1769,2011.0,736.0,Jean (Gigi) Pritzker,United States,49.0,1.7,,"hotels, investments",,North America
1770,2011.0,736.0,Daniel Pritzker,United States,52.0,1.7,,"hotels, investments",,North America
1771,2011.0,736.0,Ken Fisher,United States,60.0,1.7,,money management,,North America
1772,2011.0,736.0,Richard Desmond,United Kingdom,59.0,1.7,,publishing,,Europe
1773,2011.0,736.0,Saif Al Ghurair & family,United Arab Emirates,,1.7,,Diversified,,Asia
1774,2011.0,736.0,Guilherme Peirao Leal,Brazil,60.0,1.7,,Cosmetics,,South America
1775,2011.0,736.0,Mohammed Al Rajhi,Saudi Arabia,,1.7,,banking,,Asia
1776,2011.0,736.0,Jose Maria Aristrain,Spain,48.0,1.7,,Steel,,Europe
1777,2011.0,736.0,Alexander Rovt,United States,58.0,1.7,,fertilizer,,North America
1778,2011.0,736.0,Glenn Dubin,United States,54.0,1.7,,hedge funds,,North America
1779,2011.0,736.0,Peter Lim,Singapore,57.0,1.7,,Investments,,Asia
1780,2011.0,736.0,Stephen Mandel,United States,55.0,1.7,,hedge funds,,North America
1781,2011.0,736.0,Manuel Moroun,United States,83.0,1.7,,transportation,,North America
1782,2011.0,736.0,Alexander Ponomarenko,Russia,46.0,1.7,,port,,Asia
1783,2011.0,736.0,Alexander Skorobogatko,Russia,43.0,1.7,,port,,Asia
1784,2011.0,736.0,Lindsay Fox,Australia,73.0,1.7,,logistics,,Oceania
1785,2011.0,736.0,Jonathan Nelson,United States,54.0,1.7,,leveraged buyouts,,North America
1786,2011.0,736.0,Thomas Kaplan,United States,48.0,1.7,,Investments,,North America
1787,2011.0,736.0,Huang Zelan,China,55.0,1.7,,metals,,Asia
1788,2011.0,736.0,Huang Yi,Hong Kong,49.0,1.7,,auto Distribution,,Asia
1789,2011.0,736.0,Ayman Asfari,United Kingdom,52.0,1.7,,Petrofac,,Europe
1790,2011.0,736.0,Ajay Kalsi,India,,1.7,,oil,,Asia
1791,2011.0,736.0,Christopher Cline,United States,53.0,1.7,,Coal,,North America
1792,2011.0,782.0,Yan Cheung,China,54.0,1.6,,paper ,,Asia
1793,2011.0,782.0,Zhou Furen,China,53.0,1.6,,Diversified,,Asia
1794,2011.0,782.0,Shi Yuzhu,China,48.0,1.6,,Diversified,,Asia
1795,2011.0,782.0,Jack Ma,China,46.0,1.6,,Internet,,Asia
1796,2011.0,782.0,Zhong Sheng Jian,Singapore,53.0,1.6,,real estate,,Asia
1797,2011.0,782.0,Ma Xingtian & family,China,42.0,1.6,,pharmaceuticals,,Asia
1798,2011.0,782.0,Tsai Hong-tu,Taiwan,58.0,1.6,,finance,,Asia
1799,2011.0,782.0,Suhon Lin,Taiwan,,1.6,,petrochemicals,,Asia
1800,2011.0,782.0,Tseng Shin-yi,Taiwan,,1.6,,petrochemicals,,Asia
1801,2011.0,782.0,Liao Long-Shing,Taiwan,,1.6,,petrochemicals,,Asia
1802,2011.0,782.0,Chang Yung Fa,Taiwan,83.0,1.6,,transport,,Asia
1803,2011.0,782.0,Rahul Bajaj,India,72.0,1.6,,motorcycles,,Asia
1804,2011.0,782.0,Rolf Gerling,Germany,56.0,1.6,,insurance,,Europe
1805,2011.0,782.0,Gil Shwed,Israel,43.0,1.6,,Software,,Asia
1806,2011.0,782.0,Barbara Carlson Gage & family,United States,69.0,1.6,,Carlson Cos.,,North America
1807,2011.0,782.0,Ted Forstmann,United States,71.0,1.6,,leveraged buyouts,,North America
1808,2011.0,782.0,Marilyn Carlson Nelson & family,United States,72.0,1.6,,Carlson Cos,,North America
1809,2011.0,782.0,Irwin Jacobs,United States,77.0,1.6,,Qualcomm,,North America
1810,2011.0,782.0,Jon Stryker,United States,52.0,1.6,,Stryker Corp.,,North America
1811,2011.0,782.0,James Kim & family,United States,75.0,1.6,,microchips,,North America
1812,2011.0,782.0,Pat Stryker,United States,55.0,1.6,,Stryker Corp,,North America
1813,2011.0,782.0,Michael Heisley,United States,74.0,1.6,,Manufacturing,,North America
1814,2011.0,782.0,Alec Gores,United States,58.0,1.6,,private equity,,North America
1815,2011.0,782.0,Leandro Rizzuto,United States,73.0,1.6,,Conair,,North America
1816,2011.0,782.0,Evgeny (Eugene) Shvidler,United States,47.0,1.6,,Millhouse LLC,,North America
1817,2011.0,782.0,Lev Leviev,Israel,55.0,1.6,,diamonds,,Asia
1818,2011.0,782.0,David Gottesman,United States,84.0,1.6,,Investments,,North America
1819,2011.0,782.0,Senapathy Gopalakrishnan & family,India,56.0,1.6,,Software,,Asia
1820,2011.0,782.0,Dermot Desmond,Ireland,60.0,1.6,,finance,,Europe
1821,2011.0,782.0,Vladimir Iorich,Germany,52.0,1.6,,"mining, steel",,Europe
1822,2011.0,782.0,David Davidovich,Russia,48.0,1.6,,"food, metals",,Asia
1823,2011.0,782.0,Lee Myung-Hee,South Korea,67.0,1.6,,Retail,,Asia
1824,2011.0,782.0,Joseph Mansueto,United States,54.0,1.6,,Morningstar,,North America
1825,2011.0,782.0,Kavitark Ram Shriram,United States,54.0,1.6,,"Venture capital, Google",,North America
1826,2011.0,782.0,Edwin Soeryadjaya,Indonesia,62.0,1.6,,Coal,,Asia
1827,2011.0,782.0,Vyacheslav Kantor,Russia,57.0,1.6,,"fertilizer, real estate",,Asia
1828,2011.0,782.0,Liu Ming Chung,Brazil,48.0,1.6,,paper manufacturing,,South America
1829,2011.0,782.0,Gleb Fetisov,Russia,44.0,1.6,,"telecom, finance",,Asia
1830,2011.0,782.0,Richard Chilton Jr,United States,52.0,1.6,,hedge funds,,North America
1831,2011.0,782.0,Ralph Sonnenberg,Netherlands,76.0,1.6,,blinds,,Europe
1832,2011.0,782.0,Megdet Rahimkulov,Russia,65.0,1.6,,Investments,,Asia
1833,2011.0,782.0,Georg von Opel,Germany,44.0,1.6,,real estate/investments,,Europe
1834,2011.0,782.0,Tsai Cheng-da,Taiwan,,1.6,,finance,,Asia
1835,2011.0,782.0,He Qiaonu & family,China,45.0,1.6,,landscape architecture,,Asia
1836,2011.0,782.0,Huang Shaowu,China,40.0,1.6,,Retail,,Asia
1837,2011.0,782.0,Eduardo Saverin,United States,29.0,1.6,,Facebook,,North America
1838,2011.0,782.0,Sean Parker,United States,31.0,1.6,,Facebook,,North America
1839,2011.0,782.0,Hans Melchers,Netherlands,72.0,1.6,,"chemicals, investments",,Europe
1840,2011.0,782.0,Christoffel Wiese,South Africa,69.0,1.6,,consumer retail,,Africa
1841,2011.0,782.0,Vadim Moshkovich,Russia,44.0,1.6,,"agriculture, development",,Asia
1842,2011.0,782.0,Eric Lefkofsky,United States,41.0,1.6,,technology,,North America
1843,2011.0,833.0,Lin Li,China,47.0,1.5,,Investments,,Asia
